Special Event(s) - Waiver of License/Permit Fee(s),Waiver of special event license and/or permit fee(s) for Start Heart Walk,61
Handicapped Parking,Handicapped Parking Permit No. 75946,53
Handicapped Parking,Handicapped Parking Permit No. 73636,53
Handicapped Parking,Handicapped Parking Permit No. 75945,53
Handicapped Parking,Handicapped Parking Permit No. 14554,53
Handicapped Parking,Handicapped Parking Permit No. 69544,53
Handicapped Parking,Handicapped Parking Permit No. 77017,53
Handicapped Parking,Handicapped Parking Permit No. 77012,53
Handicapped Parking,Handicapped Parking Permit No. 78127,53
Handicapped Parking,Handicapped Parking Permit No. 73312,53
Handicapped Parking,Handicapped Parking Permit No. 78132,53
Handicapped Parking,Handicapped Parking Permit No. 74734,53
Handicapped Parking,Handicapped Parking Permit No. 78129,53
Handicapped Parking,Handicapped Parking Permit No. 78122,53
Handicapped Parking,Handicapped Parking Permit No. 37555,53
Handicapped Parking,Handicapped Parking Permit No. 77866,53
Handicapped Parking,Handicapped Parking Permit No. 73164,53
Handicapped Parking,Handicapped Parking Permit No. 69639,53
Handicapped Parking,Handicapped Parking Permit No. 38743,53
Handicapped Parking,Handicapped Parking Permit No. 69663,53
Handicapped Parking,Handicapped Parking Permit No. 74206,61
Handicapped Parking,Handicapped Parking Permit No. 17788,61
Handicapped Parking,Handicapped Parking Permit No. 64785,61
Handicapped Parking,Handicapped Parking Permit No. 75995,61
Handicapped Parking,Handicapped Parking Permit No. 76043,61
Zoning Reclassification(s),Zoning Reclassification Map No. 7-G at 2600-2714 N Halsted St and 801-819 W Diversey Pkwy,53
Handicapped Parking,Handicapped Parking Permit No. 73362,53
Handicapped Parking,Handicapped Parking Permit No. 73361,53
Handicapped Parking,Handicapped Parking Permit No. 77471,53
Handicapped Parking,Handicapped Parking Permit No. 77479,53
Handicapped Parking,Handicapped Parking Permit No. 77475,53
Handicapped Parking,Handicapped Parking Permit No. 77495,53
Handicapped Parking,Handicapped Parking Permit No. 7194,53
Handicapped Parking,Handicapped Parking Permit No. 56038,53
Handicapped Parking,Handicapped Parking Permit No. 31764,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at S Indiana Ave at E 40th St,61
Handicapped Parking,Handicapped Parking Permit No. 13865,53
Handicapped Parking,Handicapped Parking Permit No. 50808,53
Handicapped Parking,Handicapped Parking Permit No. 3762,53
Handicapped Parking,Handicapped Parking Permit No. 47538,53
Handicapped Parking,Handicapped Parking Permit No. 68601,53
Handicapped Parking,Handicapped Parking Permit No. 72905,53
Handicapped Parking,Handicapped Parking Permit No. 76998,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 2032 W  Irving Park Rd,53
Handicapped Parking,Handicapped Parking Permit No. 0000000156,53
Handicapped Parking,Handicapped Parking Permit No. 73110,53
Handicapped Parking,Handicapped Parking Permit No. 69412,53
Handicapped Parking,Handicapped Parking Permit No. 73085,61
Handicapped Parking,Handicapped Parking Permit No. 58547,53
Handicapped Parking,Handicapped Parking Permit No. 41097,53
Handicapped Parking,Handicapped Parking Permit No. 71244,53
Handicapped Parking,Handicapped Parking Permit No. 73510,53
Handicapped Parking,Handicapped Parking Permit No. 73527,53
Handicapped Parking,Handicapped Parking Permit No. 73523,53
Handicapped Parking,Handicapped Parking Permit No. 73518,53
Handicapped Parking,Handicapped Parking Permit No. 73526,53
Handicapped Parking,Handicapped Parking Permit No. 73525,53
Handicapped Parking,Handicapped Parking Permit No. 43516,53
Handicapped Parking,Handicapped Parking Permit No. 72903,53
Handicapped Parking,Handicapped Parking Permit No. 70885,53
Handicapped Parking,Handicapped Parking Permit No. 65029,53
Handicapped Parking,Handicapped Parking Permit No. 71300,53
Handicapped Parking,Handicapped Parking Permit No. 72619,53
Handicapped Parking,Handicapped Parking Permit No. 71057,53
Handicapped Parking,Handicapped Parking Permit No. 71018,53
Handicapped Parking,Handicapped Parking Permit No. 77449,53
Handicapped Parking,Handicapped Parking Permit No. 65653,53
Handicapped Parking,Handicapped Parking Permit No. 71367,53
Handicapped Parking,Handicapped Parking Permit No. 77956,53
Handicapped Parking,Handicapped Parking Permit No. 27654,53
Handicapped Parking,Handicapped Parking Permit No. 48822,53
Handicapped Parking,Handicapped Parking Permit No. 77477,53
Handicapped Parking,Handicapped Parking Permit No. 71058,53
Handicapped Parking,Handicapped Parking Permit No. 38333,53
Handicapped Parking,Handicapped Parking Permit No. 14640,53
Handicapped Parking,Handicapped Parking Permit No. 77267,53
Handicapped Parking,Handicapped Parking Permit No. 71689,53
Handicapped Parking,Handicapped Parking Permit No. 77153,53
Handicapped Parking,Handicapped Parking Permit No. 63390,53
Handicapped Parking,Handicapped Parking Permit No. 11703,53
Handicapped Parking,Handicapped Parking Permit No. 71830,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 1442 W Fullerton Ave,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 1820 W Webster Ave,53
Handicapped Parking,Handicapped Parking Permit No. 69726,53
Handicapped Parking,Handicapped Parking Permit No. 78166,53
Handicapped Parking,Handicapped Parking Permit No. 46138,53
Handicapped Parking,Handicapped Parking Permit No. 51708,53
Handicapped Parking,Handicapped Parking Permit No. 77911,53
Handicapped Parking,Handicapped Parking Permit No. 73381,53
Handicapped Parking,Handicapped Parking Permit No. 69310,53
Handicapped Parking,Handicapped Parking Permit No. 73378,53
Handicapped Parking,Handicapped Parking Permit No. 76646,53
Handicapped Parking,Handicapped Parking Permit No. 76632,53
Handicapped Parking,Handicapped Parking Permit No. 77111,53
Handicapped Parking,Handicapped Parking Permit No. 77110,53
Handicapped Parking,Handicapped Parking Permit No. 78095,53
Handicapped Parking,Handicapped Parking Permit No. 67467,53
Handicapped Parking,Handicapped Parking Permit No. 77744,53
Handicapped Parking,Handicapped Parking Permit No. 69238,53
Handicapped Parking,Handicapped Parking Permit No. 73087,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 2366-2370 N Neva Ave,53
Condominium Claim(s),Condominium claim for Westgate Condo Assn. ,66
Condominium Claim(s),Condominium claim for 873 North Larrabee Condo Assn. ,66
Condominium Claim(s),Condominium claim for 3649-3651 North Kedvale Condo Assn. ,66
Condominium Claim(s),Condominium claim for Pueblo Commons Condo Assn.,66
Condominium Claim(s),Condominium claim for Westwind Terrace Condo Assn.,66
Condominium Claim(s),Condominium claim for Kamerling Condo Assn.,66
Condominium Claim(s),Condominium claim for Springfield Place Condo Assn.,66
Condominium Claim(s),Condominium claim for Sun Villa Condo,66
Condominium Claim(s),Condominium claim for Signature Square Condo Assn.,66
Condominium Claim(s),Condominium claim for Newgard Condo Assn.,66
Condominium Claim(s),Condominium claim for 5621 North Spaulding Condo Assn.,66
Condominium Claim(s),"Condominium claim for Pattington Condo Assn., The ",66
Condominium Claim(s),Condominium claim for Grace-Sheffield Condo Assn.,66
Condominium Claim(s),Condominium claim for Tower Lofts,66
Condominium Claim(s),Condominium claim for Warner Flats Condo Assn.,66
Condominium Claim(s),Condominium claim for Carmen Walk Condo Assn.,66
Condominium Claim(s),Condominium claim for Granville Condo Assn.,66
Condominium Claim(s),Condominium claim for Rowhouses Lakewood Balmoral Assn.,66
Condominium Claim(s),Condominium claim for Fitch Park Condo,66
Condominium Claim(s),Condominium claim for Francisco Manor Condo,66
Condominium Claim(s),Condominium claim for Homes by the Park Condo Assn.,66
Condominium Claim(s),Condominium claim for Hoyne Garden Condo Assn.,66
Condominium Claim(s),Condominium claim for Mozart Terrace Condo Assn.,66
Condominium Claim(s),Condominium claim for Landmark Lofts Condo Assn.,66
Damage to Vehicle Claim(s),"Damage to vehicle claim for Nykaza, Jennifer ",66
Damage to Vehicle Claim(s),"Damage to vehicle claim for Price, Linda",66
Damage to Vehicle Claim(s),"Damage to vehicle claim for Rouse, Norman ",66
Damage to Vehicle Claim(s),"Damage to vehicle claim for Carr, Patricia E. ",66
Damage to Vehicle Claim(s),"Damage to vehicle claim for Reese, Wendy Anne ",66
Damage to Vehicle Claim(s),"Damage to vehicle claim for Bakk, Zoltan ",66
Damage to Vehicle Claim(s),"Damage to vehicle claim for Hughes, Andrew ",66
Refund(s) of Fee(s),Refund of fee(s) for Jewish Children's Bureau of Chicago,61
"",Support of Responsible Contractor Policy in Chicago,52
Handicapped Parking,Handicapped Parking Permit No. 73717,53
Handicapped Parking,Handicapped Parking Permit No. 70570,53
Handicapped Parking,Handicapped Parking Permit No. 76121,53
Handicapped Parking,Handicapped Parking Permit No. 78136,53
Handicapped Parking,Handicapped Parking Permit No. 42693,53
Zoning Reclassification(s),Zoning Reclassification Map No. 15-G at W Bryn Mawr Ave and N Sheridan Rd,53
Zoning Reclassification(s),Zoning Reclassification Map No. 14-K at 5825 S Kostner Ave and 5801-5857 S Kostner Ave,53
Handicapped Parking,Handicapped Parking Permit No. 18081,53
Handicapped Parking,Handicapped Parking Permit No. 73296,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 5708-5712 N Clark St.,53
Handicapped Parking,Handicapped Parking Permit No. 77033,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 1120 N State St,53
Loading/Standing/Tow Zone(s),"Loading/Standing/Tow Zone(s) at 160 West Adams St 
",53
Handicapped Parking,Handicapped Parking Permit No. 29126,53
Handicapped Parking,Handicapped Parking Permit No. 77826,53
Handicapped Parking,Handicapped Parking Permit No. 30128,53
Handicapped Parking,Handicapped Parking Permit No. 77509,53
Handicapped Parking,Handicapped Parking Permit No. 75873,53
Handicapped Parking,Handicapped Parking Permit No. 73208,53
Handicapped Parking,Handicapped Parking Permit No. 64502,53
Handicapped Parking,Handicapped Parking Permit No. 77274,53
Handicapped Parking,Handicapped Parking Permit No. 25439,53
Handicapped Parking,Handicapped Parking Permit No. 76879,53
Handicapped Parking,Handicapped Parking Permit No. 78138,53
Handicapped Parking,Handicapped Parking Permit No. 32727,53
Handicapped Parking,Handicapped Parking Permit No. 54528,53
Handicapped Parking,Handicapped Parking Permit No. 30482,53
Handicapped Parking,Handicapped Parking Permit No. 77391,53
Handicapped Parking,Handicapped Parking Permit No. 76520,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 725 N Hoyne Ave,53
Handicapped Parking,Handicapped Parking Permit No. 71882,53
Handicapped Parking,Handicapped Parking Permit No. 73556,53
Handicapped Parking,Handicapped Parking Permit No. 78097,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 1155 N Winchester,53
Zoning Reclassification(s),Zoning Reclassification Map No. 6-J at 2221S Lawndale Ave and  2201-2237 S Lawndale Ave,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 601 N Wood St,53
Handicapped Parking,Handicapped Parking Permit No. 1919,53
Handicapped Parking,Handicapped Parking Permit No. 76765,53
Zoning Reclassification(s),Zoning Reclassification Map No. 12-M at 5700 W 55th St,53
Zoning Reclassification(s),Zoning Reclassification Map No. 9-I at 2416-2422 W Addison St,53
Handicapped Parking,Handicapped Parking Permit No. 74519,53
Handicapped Parking,Handicapped Parking Permit No. 77469,53
Handicapped Parking,Handicapped Parking Permit No. 73249,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 8248 S Cottage Grove Ave,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 441 E 79th St,53
Handicapped Parking,Handicapped Parking Permit No. 13340,53
Handicapped Parking,Handicapped Parking Permit No. 26345,53
Handicapped Parking,Handicapped Parking Permit No. 67703,53
Handicapped Parking,Handicapped Parking Permit No. 76548,53
Handicapped Parking,Handicapped Parking Permit No. 76560,53
Handicapped Parking,Handicapped Parking Permit No. 74140,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 8233 S Pulaski Rd,53
Handicapped Parking,Handicapped Parking Permit No. 70246,53
Handicapped Parking,Handicapped Parking Permit No. 76564,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 3412-3416 W 111th St,53
Handicapped Parking,Handicapped Parking Permit No. 73052,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 1124 W Grand Ave,53
Handicapped Parking,Handicapped Parking Permit No. 78027 ,53
Handicapped Parking,Handicapped Parking Permit No. 68582,53
Handicapped Parking,Handicapped Parking Permit No. 77813,53
Handicapped Parking,Handicapped Parking Permit No. 77818,53
Handicapped Parking,Handicapped Parking Permit No. 77771,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 1026 N Milwaukee Ave,53
Handicapped Parking,Handicapped Parking Permit No. 13359,53
Handicapped Parking,Handicapped Parking Permit No. 78042,53
Handicapped Parking,Handicapped Parking Permit No. 71482,53
Handicapped Parking,Handicapped Parking Permit No. 77807,53
Handicapped Parking,Handicapped Parking Permit No. 76667,53
Handicapped Parking,Handicapped Parking Permit No. 46087,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 4432 W Madison St ,53
Handicapped Parking,Handicapped Parking Permit No. 77349,53
Handicapped Parking,Handicapped Parking Permit No. 67369,53
Handicapped Parking,Handicapped Parking Permit No. 73604,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 4123 W Madison St,53
Handicapped Parking,Handicapped Parking Permit No. 73637,53
Handicapped Parking,Handicapped Parking Permit No. 71848,53
Handicapped Parking,Handicapped Parking Permit No. 72678,53
Handicapped Parking,Handicapped Parking Permit No. 77298,53
Handicapped Parking,Handicapped Parking Permit No. 16154,53
Handicapped Parking,Handicapped Parking Permit No. 42057,53
Handicapped Parking,Handicapped Parking Permit No. 47558,53
Handicapped Parking,Handicapped Parking Permit No. 47561,53
Handicapped Parking,Handicapped Parking Permit No. 72241,53
Handicapped Parking,Handicapped Parking Permit No. 76874,53
Handicapped Parking,Handicapped Parking Permit No. 55378,53
Handicapped Parking,Handicapped Parking Permit No. 70764,53
Handicapped Parking,Handicapped Parking Permit No. 72760,53
Handicapped Parking,Handicapped Parking Permit No. 72776,53
Handicapped Parking,Handicapped Parking Permit No. 64184,53
Handicapped Parking,Handicapped Parking Permit No. 70783,53
Handicapped Parking,Handicapped Parking Permit No. 78024,53
Handicapped Parking,Handicapped Parking Permit No. 78193,53
Handicapped Parking,Handicapped Parking Permit No. 67064,53
Handicapped Parking,Handicapped Parking Permit No. 72770,53
Handicapped Parking,Handicapped Parking Permit No. 28296,53
Handicapped Parking,Handicapped Parking Permit No. 73379,53
Handicapped Parking,Handicapped Parking Permit No. 73378,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 5433 W Addison St,53
Handicapped Parking,Handicapped Parking Permit No. 45233,53
Handicapped Parking,Handicapped Parking Permit No. 29807,53
Handicapped Parking,Handicapped Parking Permit No. 73583,53
Handicapped Parking,Handicapped Parking Permit No. 72870,53
Handicapped Parking,Handicapped Parking Permit No. 76855,53
Handicapped Parking,Handicapped Parking Permit No. 74577,53
Handicapped Parking,Handicapped Parking Permit No. 70019,53
Handicapped Parking,Handicapped Parking Permit No. 28719,53
Handicapped Parking,Handicapped Parking Permit No. 73481,53
Handicapped Parking,Handicapped Parking Permit No. 74758,53
Handicapped Parking,Handicapped Parking Permit No. 77109,53
Handicapped Parking,Handicapped Parking Permit No. 74672,53
Handicapped Parking,Handicapped Parking Permit No. 73515,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 5109 N Clark St,53
Awning(s),Awning(s) for Taylor Street Sub Shop,53
Loading/Standing/Tow Zone(s),Loading/Standing/Tow Zone(s) at 3811 N Lincoln Ave,53
Handicapped Parking,Handicapped Parking Permit No. 51824,53
Handicapped Parking,Handicapped Parking Permit No. 1166,53
Handicapped Parking,Handicapped Parking Permit No. 77130,53
Handicapped Parking,Handicapped Parking Permit No. 73167,53
Handicapped Parking,Handicapped Parking Permit No. 74238,53
Handicapped Parking,Handicapped Parking Permit No. 74230,53
Handicapped Parking,Handicapped Parking Permit No. 76943,53
Handicapped Parking,Handicapped Parking Permit No. 76624,53
Handicapped Parking,Handicapped Parking Permit No. 54953,61
Handicapped Parking,Handicapped Parking Permit No. 77797,53
Sidewalk Cafe(s),Sidewalk cafe(s) for Starbucks Coffee No. 11751,53
Condominium Claim(s),Condominium claim for Acme Lofts Condo Assn. ,66
Condominium Claim(s),Condominium claim for Atrium Condo Assn. ,66
Condominium Claim(s),Condominium claim for Pinnacle Lofts Condo Assn. ,66
Condominium Claim(s),Condominium claim for Wolfram Towers Homeowner Assn. ,66
Condominium Claim(s),Condominium claim for 1621-1625 West North Avenue Condo Assn. ,66
Condominium Claim(s),Condominium claim for Michigan Avenue Garden Terraces ,66
Condominium Claim(s),Condominium claim for Pope Building ,66
Condominium Claim(s),Condominium claim for River City Condo Assn. ,66
Condominium Claim(s),Condominium claim for 565 West Quincy Condo Assn. ,66
Condominium Claim(s),Condominium claim for 1111 South Wabash Condo Assn. ,66
Condominium Claim(s),Condominium claim for 1143 South Plymouth Court Condo Assn. ,66
Condominium Claim(s),Condominium claim for Grand Parkway of Bronzeville Condo Assn. ,66
Condominium Claim(s),Condominium claim for 6255 South Mason Avenue Condo ,66
Condominium Claim(s),Condominium claims for Gallery Condo Assn. and sundry others ,66
Condominium Claim(s),Condominium claim for Aherlow Condo,66
Condominium Claim(s),Condominium claim for Hale Park East Condo ,66
Condominium Claim(s),Condominium claim for HB Assn. ,66
Condominium Claim(s),Condominium claim for Lishmore Condo Assn. Phase One ,66
Condominium Claim(s),Condominium claim for 6628 West 64th Place Corp. ,66
Condominium Claim(s),Condominium claim for Chicago Noble Condo Assn. ,66
Condominium Claim(s),Condominium claim for Erie Pointe Condo Assn. ,66
Condominium Claim(s),Condominium claim for Noble Square Co-Op,66
Condominium Claim(s),Condominium claim for North Town Village Condo Assn. ,66
Condominium Claim(s),Condominium claim for Parc Chestnut Condo Assn. ,66
Condominium Claim(s),Condominium claim for Royalton Tower Condo Assn. ,66
Condominium Claim(s),Condominium claim for Willard Court Condo Assn. ,66
Condominium Claim(s),Condominium claim for 23 On Green Condo Assn. ,66
Condominium Claim(s),Condominium claim for Citadel Condo Assn. ,66
Condominium Claim(s),Condominium claim for Racine Court Co-Op ,66
Condominium Claim(s),Condominium claim for 2151 Building Assn. ,66
Condominium Claim(s),Condominium claim for Merrimac Square Condo Assn. ,66
Condominium Claim(s),Condominium claim for Barry by the Lake Condo Assn.,66
Condominium Claim(s),"Condominium claim for Barry Condo Inc., The ",66
Condominium Claim(s),Condominium claim for Clifton Row Condo Assn. ,66
Condominium Claim(s),Condominium claim for East Wrigleyview Village Condo Assn. ,66
Condominium Claim(s),Condominium claim for Eddystone Condo Homes Inc.,66
Condominium Claim(s),Condominium claim for Harbor House Condo Assn. ,66
Condominium Claim(s),Condominium claim for Melrose Court Condo Assn. ,66
Condominium Claim(s),Condominium claim for Oakpine Condo Assn. ,66
Condominium Claim(s),Condominium claim for Sheridan Briar South Condo Assn. ,66
Condominium Claim(s),Condominium claim for Victorian Lane Condo ,66
Condominium Claim(s),Condominium claim for 339 West Barry Homeowners Assn. ,66
Condominium Claim(s),Condominium claim for 505 Melrose Condo Assn. ,66
Condominium Claim(s),Condominium claim for 2800 Lake Shore Drive Condo Assn. ,66
Condominium Claim(s),Condominium claim for 3110 North Sheridan Condo Assn. ,66
Condominium Claim(s),Condominium claim for Steeples Condo Assn. ,66
Condominium Claim(s),Condominium claim for Paulina Place Condo ,66
Condominium Claim(s),Condominium claim for Shoreline Park Condo Assn. ,66
Condominium Claim(s),Condominium claim for 5455 Edgewater Place Condo Assn. ,66
Condominium Claim(s),Condominium claim for 5923-5925 North Magnolia Avenue Condo Assn. ,66
Condominium Claim(s),Condominium claim for Berkshire Commons Condominium ,66
Condominium Claim(s),Condominium claim for Royalton Condo Assn. ,66
Condominium Claim(s),Condominium claim for 2545 W Fitch Condo Assn. ,66
Damage to Vehicle Claim(s),"Damage to vehicle claim for Medina, Matias ",66
Damage to Vehicle Claim(s),"Damage to vehicle claim for Hobbs, Shabaka",66
Damage to Vehicle Claim(s),"Damage to vehicle claim  for Bigsby, Natasha ",66
Damage to Vehicle Claim(s),Damage to vehicle claim for Jackson. Matthew ,66
Handicapped Parking,Handicapped Parking Permit No. 73109,53
Damage to Vehicle Claim(s),"Damage to vehicle claim for Goldman, Andrew ",66
Sign(s)/Signboard(s),Issuance of permits for sign(s)/signboard(s) at 632 W Addison St,61
Honorary Street Designation(s),"Honorary street designation as ""Ric Hess Way""",61
Honorary Street Designation(s),"Honorary street designation as ""Reverend A. P. Randall Way""",61
Special Event(s) - Waiver of License/Permit Fee(s),Waiver of special event license and/or permit fee(s) for St. Paddy's Day 5k/8k Run,61
Special Event(s) - Waiver of License/Permit Fee(s),Waiver of special event license and/or permit fee(s) for Andersonville Farmers Market,61
Special Event(s) - Waiver of License/Permit Fee(s),Waiver of special event license and/or permit fee(s) for 16th Ward Spring Fling,61
Special Event(s) - Issuance of License(s)/Permit(s),Issuance of special event license(s) and/or permit(s) for Friends of Bridge School annual festival,53
Special Event(s) - Issuance of License(s)/Permit(s),Issuance of special event license(s) and/or permit(s) for 6 Corners BBQ Festival,61
Special Event(s) - Issuance of License(s)/Permit(s),Issuance of special event license(s) and/or permit(s) for Taste of Polonia Festival,61
Special Event(s) - Issuance of License(s)/Permit(s),Issuance of special event license(s) and/or permit(s) for Jeff Fest,61
Special Event(s) - Issuance of License(s)/Permit(s),Issuance of special event license(s) and/or permit(s) for Humboldt Dream Run 5K/10K,53
Special Event(s) - Issuance of License(s)/Permit(s),Issuance of special event license(s) and/or permit(s) for Beverly Breast Cancer Walk,61
Special Event(s) - Issuance of License(s)/Permit(s),Issuance of special event license(s) and/or permit(s) for 5K for Earth Day/Green Living Expo,53
Sign(s)/Signboard(s),Issuance of permits for sign(s)/signboard(s) at 2548 S Federal St,61
Residential Permit Parking,Residential permit parking at 3900-3945 W 82nd St ,53
Special Event(s) - Waiver of License/Permit Fee(s),Waiver of special event license and/or permit fee(s) for Wells Street Fall Festival,61
Special Event(s) - Issuance of License(s)/Permit(s),Issuance of special event license(s) and/or permit(s) for Carnaval del Pueblo,61
Fee Exemption(s),Not-for-profit fee exemption(s) for Fraternite Notre Dame Inc.,53
Honorary Street Designation(s),"Honorary street designation as ""Honorary David Maring Way""",53
Handicapped Parking,Handicapped Parking Permit No. 40126,53
Honorary Street Designation(s),"Honorary street designation as ""Honorary Bridget Nash Way""",53
Handicapped Parking,Handicapped Parking Permit No. 70792,53
"",Smart Kiosk Services Installation Pilot Program Ordinance of 2011,53
Special Event(s) - Issuance of License(s)/Permit(s),Issuance of special event license(s) and/or permit(s) for Stars for 2011 Retro on Roscoe,53
Special Event(s) - Waiver of License/Permit Fee(s),Waiver of special event license and/or permit fee(s) for St. George Greek Orthodox Church Picnic,61
Special Event(s) - Waiver of License/Permit Fee(s),Waiver of special event license and/or permit fee(s) for Church of the Three Crosses Annual Fundraiser,61
